rank,name,platform_code,year,genre,publisher,NA_sales,EU_sales,JP_sales,Other_sales
3022,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0,0,0.67,0
3045,Peppa Pig: Fun and Games,DS,2010,Misc,Ubisoft,0,0.58,0,0.09
3052,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006,Misc,IE Institute,0,0,0.66,0
3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,0,0,0.66,0
3132,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,Misc,Namco Bandai Games,0,0,0.65,0
3264,Wipeout: The Game,DS,2010,Misc,Activision,0.58,0,0,0.04
3304,Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0,0,0.61,0
3349,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.18,0.19,0.2,0.04
3411,Spelling Challenges and more!,DS,2007,Misc,505 Games,0.54,0,0,0.04
3614,DS Bimoji Training,DS,2008,Misc,Nintendo,0,0,0.56,0
3647,50 Classic Games,DS,2009,Misc,Destineer,0.52,0,0,0.04
3727,Let's Draw!,DS,2008,Misc,Ubisoft,0.24,0.23,0,0.06
3807,Are You Smarter Than A 5th Grader?,DS,2007,Misc,Mindscape,0.48,0,0,0.04
3831,Classic Word Games,DS,2009,Misc,Ubisoft,0.09,0.37,0,0.07
3867,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,DS,2006,Misc,Nintendo,0,0,0.52,0
3871,Petz: Hamsterz Life 2,DS,2007,Misc,Ubisoft,0.48,0,0,0.04
3897,Jam With the Band,DS,2008,Misc,Nintendo,0,0,0.51,0
3998,The Price is Right,DS,2008,Misc,Ubisoft,0.46,0,0,0.04
4081,Rayman Raving Rabbids: TV Party,DS,2008,Misc,Ubisoft,0.44,0.01,0,0.04
4278,LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.33,0.09,0,0.04
4280,"Barbie: Jet, Set & Style!",DS,2011,Misc,THQ,0.37,0.05,0,0.03
4327,Moshi Monsters: Moshlings Theme Park,DS,2012,Misc,Activision,0.03,0.37,0,0.05
4333,Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0.01,0,0.03
4351,My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0.01,0,0.03
4376,Band Hero,DS,2009,Misc,Activision,0.21,0.19,0,0.05
4447,My Spanish Coach,DS,2007,Misc,Ubisoft,0.4,0.01,0,0.03
4497,Dora the Explorer: Dora Puppy,DS,2009,Misc,Take-Two Interactive,0.39,0.01,0,0.03
4508,Wheel of Fortune,DS,2010,Misc,THQ,0.41,0,0,0.03
4617,Solitaire Overload,DS,2007,Misc,Telegames,0.39,0,0,0.03
4639,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0,0,0.42,0
4708,Itadaki Street DS,DS,2007,Misc,Square Enix,0,0,0.41,0
4778,My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009,Misc,Mentor Interactive,0.38,0,0,0.03
4911,Dancing with the Stars: We Dance!,DS,2008,Misc,Activision,0.36,0,0,0.03
4914,Are You Smarter than a 5th Grader? Make the Grade,DS,2008,Misc,THQ,0.36,0,0,0.03
4965,Junior Classic Games,DS,2009,Misc,Avanquest,0.26,0.09,0,0.03
4976,Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,0.38,0,0,0
5030,Elite Beat Agents,DS,2006,Misc,Nintendo,0.31,0.03,0,0.03
5046,Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision,0.13,0.2,0,0.04
5332,Hello Kitty Daily,DS,2008,Misc,Nobilis,0.32,0,0,0.03
5407,Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft,0,0,0.34,0
5410,Smart Girl's Party Game,DS,2008,Misc,505 Games,0.31,0,0,0.02
5548,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company,0,0,0.33,0
5596,Momotarou Dentetsu 20-Shuunen,DS,2008,Misc,Hudson Soft,0,0,0.32,0
5638,Peppa Pig: Theme Park Fun,DS,2011,Misc,P2 Games,0,0.28,0,0.04
5692,Quiz Magic Academy DS,DS,2008,Misc,Konami Digital Entertainment,0,0,0.32,0
5808,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,Misc,Mentor Interactive,0.29,0,0,0.02
5865,Squinkies,DS,2011,Misc,Activision,0.27,0.02,0,0.02
5889,Nounai Aeshe: IQ Suppli DS,DS,2006,Misc,Spike,0,0,0.3,0
5927,Alvin and the Chipmunks: The Squeakquel,DS,2009,Misc,Majesco Entertainment,0.28,0,0,0.02
5968,Junior Brain Trainer 2,DS,2010,Misc,GSP,0.04,0.21,0,0.04
6100,Battle & Get! Pokemon Typing DS,DS,2011,Misc,Nintendo,0,0,0.29,0
6179,Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.27,0,0,0.02
6185,Monopoly,DS,2010,Misc,Electronic Arts,0.16,0.1,0,0.03
6221,Sesame Street: Cookie's Counting Carnival,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.26,0,0,0.02
6230,Pinkalicious,DS,2011,Misc,GameMill Entertainment,0.26,0,0,0.02
6240,My Japanese Coach,DS,2008,Misc,Ubisoft,0.25,0,0,0.02
6265,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,0,0,0.27,0
6269,Boogie,DS,2007,Misc,Electronic Arts,0.25,0,0,0.02
6342,Reader Rabbit Kindergarten,DS,2008,Misc,Nordic Games,0.25,0,0,0.02
6354,Ben 10 Triple Pack,DS,2011,Misc,D3Publisher,0.13,0.12,0,0.03
6400,Family Feud: 2010 Edition,DS,2009,Misc,Ubisoft,0.25,0,0,0.02
6407,Wipeout 2,DS,2011,Misc,Activision,0.25,0,0,0.02
6423,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Misc,Mentor Interactive,0.25,0,0,0.02
6479,DS Bungaku Zenshuu,DS,2007,Misc,Nintendo,0,0,0.26,0
6484,Michael Jackson: The Experience,DS,2010,Misc,Ubisoft,0.22,0.03,0,0.02
6504,Smart Girl's Playhouse,DS,2007,Misc,505 Games,0.24,0,0,0.02
6547,Loving Life with Hello Kitty & Friends,DS,2011,Misc,Rising Star Games,0.15,0.08,0,0.02
6603,Metroid Prime Pinball,DS,2005,Misc,Nintendo,0.21,0,0.02,0.02
6639,Scrabble,DS,2009,Misc,Ubisoft,0.21,0.02,0,0.03
6797,Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios,0.08,0,0.16,0
6918,Shrek's Carnival Craze Party Games,DS,2008,Misc,Activision,0.22,0,0,0.02
6955,New Carnival Games,DS,2010,Misc,Take-Two Interactive,0.16,0.05,0,0.02
6961,Wizards of Waverly Place: Spellbound,DS,2010,Misc,Disney Interactive Studios,0.16,0.06,0,0.02
7028,Ultimate Band,DS,2008,Misc,Disney Interactive Studios,0.19,0.02,0,0.02
7141,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Misc,Konami Digital Entertainment,0.18,0.03,0,0.02
7206,KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,0.2,0.01,0,0.02
7257,Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0,0,0.22,0
7286,Pass the Pigs,DS,2008,Misc,THQ,0.2,0,0,0.02
7467,Barbie Fashion Show: An Eye for Style,DS,2008,Misc,Activision,0.19,0,0,0.02
7471,Heisei Kyouiku linkai DS,DS,2006,Misc,Namco Bandai Games,0,0,0.21,0
7547,Deal or No Deal: The Banker is Back!,DS,2008,Misc,Mindscape,0,0.2,0,0
7594,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,0.19,0,0,0.01
7595,Press Your Luck 2010 Edition,DS,2009,Misc,Ubisoft,0.19,0,0,0.01
7658,The Cheetah Girls: Passport to Stardom,DS,2008,Misc,Disney Interactive Studios,0.18,0,0,0.01
7665,My Secret World by Imagine,DS,2008,Misc,Ubisoft,0,0.2,0,0
7715,DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,DS,2006,Misc,Shogakukan,0,0,0.2,0
7729,The Naked Brothers Band: The Video Game,DS,2008,Misc,THQ,0.18,0,0,0.01
7778,Dream Salon,DS,2009,Misc,Zoo Digital Publishing,0.18,0,0,0.01
7779,Scene It? Twilight,DS,2010,Misc,Konami Digital Entertainment,0.11,0.07,0,0.02
7884,Jeopardy!,DS,2010,Misc,THQ,0.18,0,0,0.01
7929,Daigasso! Band Brothers,DS,2004,Misc,Nintendo,0,0,0.19,0
7933,Momotarou Dentetsu World,DS,2010,Misc,Hudson Soft,0,0,0.19,0
7947,Face Training,DS,2007,Misc,Nintendo,0,0,0.19,0
8081,Six Flags Fun Park,DS,2008,Misc,Brash Entertainment,0.17,0,0,0.01
8141,Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive,0.17,0,0,0.01
8204,My French Coach,DS,2007,Misc,Ubisoft,0.15,0.02,0,0.01
8205,Camp Rock: The Final Jam,DS,2010,Misc,Disney Interactive Studios,0.14,0.02,0,0.01
8358,Solitaire Overload Plus,DS,2010,Misc,Telegames,0.16,0,0,0.01
8424,Learning to Spell,DS,2010,Misc,505 Games,0.16,0,0,0.01
8427,Easy Piano,DS,2009,Misc,Game Life,0.04,0.11,0,0.02
8448,TOEIC Test Training DS,DS,2007,Misc,IE Institute,0,0,0.17,0
8483,Rio,DS,2011,Misc,THQ,0.12,0.03,0,0.01
8543,DS Rakubiki Jiten,DS,2005,Misc,Nintendo,0,0,0.16,0
8598,Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006,Misc,TDK Core,0,0,0.16,0
8637,Chessmaster: The Art of Learning,DS,2007,Misc,Ubisoft,0.12,0.03,0,0.01
8645,Victorious: Hollywood Arts Debut,DS,2011,Misc,D3Publisher,0.14,0.01,0,0.01
8647,Just Sing!,DS,2009,Misc,DTP Entertainment,0.14,0.01,0,0.01
8655,Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007,Misc,505 Games,0.15,0,0,0.01
8677,SpongeBob's Boating Bash,DS,2010,Misc,THQ,0.14,0.01,0,0.01
8827,Kids Learn Math: A+ Edition,DS,2011,Misc,Unknown,0.14,0,0,0.01
8829,Build-A-Bear Workshop: Welcome to Hugsville,DS,2010,Misc,Game Factory,0.14,0,0,0.01
8932,Rayman Raving Rabbids,DS,2007,Misc,Ubisoft,0.13,0.01,0,0.01
8964,Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0,0,0.15,0
8974,Dreamworks 2-in-1 Party Pack,DS,2010,Misc,Activision,0.14,0,0,0.01
8978,Travel Games For Dummies,DS,2008,Misc,Electronic Arts,0.13,0,0,0.01
8987,Drawn to Life Collection,DS,2010,Misc,THQ,0.14,0,0,0.01
9002,QuickSpot,DS,2006,Misc,Namco Bandai Games,0.02,0,0.13,0
9161,Atari's Greatest Hits: Volume 1,DS,2010,Misc,Atari,0.13,0,0,0.01
9196,Zoobles! Spring to Life!,DS,2011,Misc,Activision,0.1,0.02,0,0.01
9200,Master Jin Jin's IQ Challenge,DS,2006,Misc,505 Games,0.13,0,0,0.01
9251,Alvin and the Chipmunks,DS,2007,Misc,Brash Entertainment,0.12,0,0,0.01
9283,Gourmet Chef: Cook Your Way to Fame,DS,2008,Misc,Ubisoft,0.13,0,0,0.01
9330,Quick Yoga Training,DS,2008,Misc,Ubisoft,0.13,0,0,0.01
9331,Fashion Studio: Paris Collection,DS,2009,Misc,Ubisoft,0.13,0,0,0.01
9357,Retro Atari Classics,DS,2005,Misc,Atari,0.12,0,0,0.01
9360,Freddi Fish: ABC under the sea,DS,2008,Misc,Atari,0.13,0,0,0.01
9377,Brain Assist,DS,2007,Misc,Sega,0.12,0,0,0.01
9386,Suite PreCure: Melody Collection,DS,2011,Misc,Namco Bandai Games,0,0,0.13,0
9435,Chuck E. Cheese's Game Room,DS,2010,Misc,UFO Interactive,0.12,0,0,0.01
9436,Wantame Music Channel: Doko Demo Style,DS,2007,Misc,Capcom,0,0,0.13,0
9467,Disney Princess: Enchanting Storybooks,DS,2011,Misc,THQ,0.08,0.04,0,0.01
9499,Smart Boy's Gameroom,DS,2007,Misc,505 Games,0.12,0,0,0.01
9527,The Price is Right 2010 Edition,DS,2009,Misc,Ubisoft,0.12,0,0,0.01
9628,Left Brain Right Brain 2,DS,2008,Misc,Majesco Entertainment,0.12,0,0,0.01
9635,Petz Puppyz & Kittenz,DS,2011,Misc,Ubisoft,0.12,0,0,0.01
9791,My Chinese Coach,DS,2008,Misc,Ubisoft,0.11,0.01,0,0.01
9793,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,2007,Misc,Namco Bandai Games,0,0,0.12,0
9816,Zubo,DS,2008,Misc,Electronic Arts,0.09,0.03,0,0.01
9852,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.11,0,0,0.01
9863,Minute to Win It,DS,2010,Misc,Zoo Games,0.11,0,0,0.01
9893,Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,0.11,0,0,0.01
10032,Brain Quest: Grades 5 & 6,DS,2008,Misc,Electronic Arts,0.11,0,0,0.01
10063,Grease,DS,2010,Misc,505 Games,0.1,0,0,0.01
10064,My SAT Coach with The Princeton Review,DS,2008,Misc,Ubisoft,0.1,0,0,0.01
10073,Ping Pals,DS,2004,Misc,THQ,0.1,0,0,0.01
10118,Just In Time Translations,DS,2009,Misc,THQ,0.1,0,0,0.01
10171,Guitar Rock Tour,DS,2007,Misc,Gameloft,0.1,0,0,0.01
10181,Alvin and the Chipmunks: Chipwrecked,DS,2011,Misc,505 Games,0.07,0.03,0,0.01
10330,The Cheetah Girls: Pop Star Sensations,DS,2007,Misc,Disney Interactive Studios,0.1,0,0,0.01
10344,Science Papa,DS,2009,Misc,Activision,0.09,0.01,0,0.01
10368,Rock Revolution,DS,2008,Misc,Konami Digital Entertainment,0.1,0,0,0.01
10427,Princess Debut,DS,2008,Misc,Cave,0.1,0,0,0.01
10428,My First Dollhouse,DS,2010,Misc,505 Games,0.1,0,0,0.01
10466,Learn Chess,DS,2009,Misc,DreamCatcher Interactive,0.1,0,0,0.01
10518,Dora's Cooking Club,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0,0.01
10523,UNO / Skip-Bo / UNO Freefall,DS,2006,Misc,Zoo Digital Publishing,0.1,0,0,0.01
10537,Math Blaster in the Prime Adventure,DS,2009,Misc,Majesco Entertainment,0.09,0,0,0.01
10548,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,2007,Misc,Paon,0,0,0.1,0
10553,DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,2007,Misc,Shogakukan,0,0,0.1,0
10569,KORG DS-10 Synthesizer Plus,DS,2009,Misc,AQ Interactive,0.08,0,0.02,0.01
10606,Rock Band 3,DS,2010,Misc,MTV Games,0.09,0.01,0,0.01
10628,Nodame Cantabile,DS,2007,Misc,Namco Bandai Games,0,0,0.1,0
10646,Fifi and the Flowertots,DS,2009,Misc,Avanquest,0,0.09,0,0.01
10670,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007,Misc,Benesse,0,0,0.1,0
10707,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,Misc,Nintendo,0,0,0.1,0
10763,Red Bull BC One,DS,2008,Misc,Playlogic Game Factory,0.09,0,0,0.01
10798,thinkSMART,DS,2010,Misc,Conspiracy Entertainment,0.09,0,0,0.01
10820,Unou no Tatsujin: Soukai! Machigai Museum 2,DS,2007,Misc,Namco Bandai Games,0,0,0.09,0
10943,Crash Boom Bang!,DS,2006,Misc,Vivendi Games,0.07,0.01,0,0.01
10954,Jenga World Tour,DS,2007,Misc,Atari,0.09,0,0,0.01
10960,Wonder World Amusement Park,DS,2009,Misc,Majesco Entertainment,0.08,0,0,0.01
10966,Dora's Big Birthday Adventure,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0,0.01
11006,Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010,Misc,Konami Digital Entertainment,0,0,0.09,0
11016,Sega Casino,DS,2005,Misc,Sega,0.08,0,0,0.01
11027,Are You Smarter Than a 5th Grader? Back to School,DS,2010,Misc,THQ,0.08,0,0,0.01
11040,Reading Training,DS,2007,Misc,Benesse,0.01,0,0.08,0
11073,Roary the Racing Car,DS,2009,Misc,Avanquest,0,0.08,0,0.01
11107,Game Hits!,DS,2010,Misc,Foreign Media Games,0.07,0.01,0,0.01
11109,Thomas & Friends: Hero of the Rails,DS,2010,Misc,Unknown,0,0.07,0,0.01
11154,The Bachelor: The Videogame,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.08,0,0,0.01
11159,My Stop Smoking Coach: Allen Carr's EasyWay,DS,2008,Misc,Ubisoft,0.07,0.01,0,0.01
11177,Bella Sara,DS,2008,Misc,Codemasters,0.04,0.03,0,0.01
11193,Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,DS,2006,Misc,Nintendo,0,0,0.09,0
11198,My Make-Up,DS,2008,Misc,Oxygen Interactive,0.08,0,0,0.01
11207,Midnight Play! Pack,DS,2008,Misc,Ubisoft,0.08,0,0,0.01
11233,1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01
11280,"Sesame Street: Ready, Set, Grover!",DS,2011,Misc,Warner Bros. Interactive Entertainment,0.08,0,0,0.01
11405,My English Coach: Para Hispanoparlantes,DS,2009,Misc,Ubisoft,0.08,0,0,0.01
11415,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",DS,2008,Misc,D3Publisher,0,0,0.08,0
11435,"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0,0.07,0,0.01
11451,Kaidan Restaurant: Ura Menu 100-Sen,DS,2010,Misc,Namco Bandai Games,0,0,0.08,0
11453,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,DS,2007,Misc,Namco Bandai Games,0,0,0.08,0
11470,Junior Classic Books & Fairytales,DS,2010,Misc,GSP,0.06,0.01,0,0.01
11533,My Friends,DS,2009,Misc,Oxygen Interactive,0.07,0,0,0.01
11538,The Croods: Prehistoric Party!,DS,2013,Misc,D3Publisher,0.03,0.04,0,0.01
11551,futureU: The Prep Game for SAT,DS,2008,Misc,Aspyr,0.07,0,0,0.01
11558,Discovery Kids: Spider Quest,DS,2009,Misc,505 Games,0.07,0,0,0.01
11577,Drama Queens,DS,2009,Misc,Majesco Entertainment,0.07,0,0,0.01
11578,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010,Misc,Disney Interactive Studios,0,0,0.08,0
11641,World Championship Poker: Deluxe Series,DS,2005,Misc,505 Games,0.07,0,0,0.01
11707,Mind Quiz: Your Brain Coach,DS,2006,Misc,Ubisoft,0,0,0.08,0
11720,Learn Geography,DS,2009,Misc,DreamCatcher Interactive,0.07,0,0,0.01
11728,My Fun Facts Coach,DS,2008,Misc,Ubisoft,0.07,0,0,0.01
11743,Beat City,DS,2010,Misc,THQ,0.07,0,0,0.01
11802,ZhuZhu Pets: Quest for Zhu,DS,2011,Misc,Activision,0.07,0,0,0.01
11827,You Don't Know Jack,DS,2011,Misc,THQ,0.07,0,0,0.01
11892,Eiken DS,DS,2007,Misc,Rocket Company,0,0,0.07,0
11903,DS Uranai Seikatsu,DS,2009,Misc,Nintendo,0,0,0.07,0
11913,Moxie Girlz,DS,2011,Misc,GameMill Entertainment,0.07,0,0,0
11930,Mahjong Fight Club DS: Wi-Fi Taiou,DS,2006,Misc,Konami Digital Entertainment,0,0,0.07,0
11942,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005,Misc,505 Games,0.07,0,0,0
12034,My Dress-Up,DS,2008,Misc,Oxygen Interactive,0.06,0.01,0,0.01
12036,Trick DS-han: Kakushi Kami no Sumukan,DS,2010,Misc,Konami Digital Entertainment,0,0,0.07,0
12075,Classic Action: Devilish,DS,2005,Misc,505 Games,0.06,0,0,0
12154,Kanji Sonomama DS Rakubiki Jiten,DS,2006,Misc,Nintendo,0,0,0.07,0
12165,Chuugaku Eitango Target 1800 DS,DS,2006,Misc,IE Institute,0,0,0.07,0
12173,Dreamer Series: Pop Star,DS,2009,Misc,Tivola,0.04,0.02,0,0.01
12175,My Amusement Park,DS,2010,Misc,Scholastic Inc.,0.06,0,0,0
12187,Brain Quest: Grades 3 & 4,DS,2008,Misc,Electronic Arts,0.06,0,0,0.01
12216,Touch 'N' Play Collection,DS,2010,Misc,O-Games,0.04,0.02,0,0.01
12225,Interactive Storybook DS Series 1,DS,2007,Misc,Tommo,0.06,0,0,0
12234,Chocolatier,DS,2010,Misc,Zoo Games,0.06,0,0,0
12235,Cosmos Chaos!,DS,2010,Misc,Mentor Interactive,0.06,0,0,0
12253,Jam Sessions 2,DS,2009,Misc,Ubisoft,0.06,0,0,0
12297,Smart Boy's Toys Club,DS,2008,Misc,505 Games,0.06,0,0,0
12307,Nicola Kanshuu: Model * Oshare Audition,DS,2010,Misc,Alchemist,0,0,0.06,0
12358,Kuukan * Zukei: Hirameki Training - KuuTore,DS,2008,Misc,Benesse,0,0,0.06,0
12359,Osu! Tatakae! Ouendan,DS,2005,Misc,Nintendo,0,0,0.06,0
12394,Atari's Greatest Hits: Volume 2,DS,2011,Misc,Atari,0.06,0,0,0
12395,Chuck E. Cheese's Playhouse,DS,2010,Misc,UFO Interactive,0.06,0,0,0
12465,Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,2006,Misc,TDK Core,0,0,0.06,0
12482,World Series of Poker 2008: Battle for the Bracelets,DS,2007,Misc,Activision,0.05,0,0,0
12501,Eigo de Tabisuru: Little Charo,DS,2011,Misc,Nintendo,0,0,0.06,0
12531,I Love Beauty: Hollywood Makeover,DS,2009,Misc,City Interactive,0.06,0,0,0
12554,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,2009,Misc,Rocket Company,0,0,0.06,0
12566,Satisfashion,DS,2010,Misc,Destineer,0.06,0,0,0
12596,Jacqueline Wilson's Tracy Beaker: The Game,DS,2009,Misc,P2 Games,0,0.05,0,0
12621,Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,DS,2006,Misc,Nintendo,0,0,0.06,0
12639,Quiz! Hexagon II,DS,2010,Misc,Namco Bandai Games,0,0,0.06,0
12692,Noddy in Toyland,DS,2011,Misc,GSP,0,0.05,0,0.01
12719,Wantame Fortune Channel,DS,2007,Misc,Capcom,0,0,0.06,0
12774,Meitantei Conan: Tantei Ryoku Trainer,DS,2007,Misc,Namco Bandai Games,0,0,0.06,0
12835,Drivers Ed Portable,DS,2008,Misc,JoWood Productions,0.05,0,0,0
12841,Minna to Kimi no Piramekino!,DS,2010,Misc,Namco Bandai Games,0,0,0.05,0
12847,Lernerfolg Vorschule: Capt'n Sharky,DS,2009,Misc,Tivola,0,0.05,0,0.01
12866,Learn Science,DS,2010,Misc,DreamCatcher Interactive,0.05,0,0,0
12891,Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0,0,0
12894,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,Misc,Sega,0,0,0.05,0
13063,Imagine: Artist,DS,2009,Misc,Ubisoft,0.05,0,0,0
13071,Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,0.05,0,0,0
13078,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,Nintendo,0,0,0.05,0
13119,Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,DS,2007,Misc,Spike,0,0,0.05,0
13167,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,Konami Digital Entertainment,0,0,0.05,0
13175,Smart Kid's Party Fun Pak,DS,2008,Misc,UFO Interactive,0.05,0,0,0
13186,Monster Band,DS,2008,Misc,Tivola,0.04,0,0,0
13189,Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,DS,2008,Misc,Benesse,0,0,0.05,0
13195,Houkago Shounen,DS,2008,Misc,Konami Digital Entertainment,0,0,0.05,0
